"";"A";"B";"C01";"C02";"C03";"C04";"C05";"C06";"D";"E";"F01";"F02";"F03";"G";"H";"H1";"I1";"I2";"J";"K";"L";"M + N";"O";"P";"Q";"R + S";"T"
"A";9646,0483242082;24,6339929100426;45286,5153230338;425,13903569696;546,905625312921;657,917788804024;30,5256033427862;40,7975687179191;9,95724476708945;8,62521711199004;252,140905304314;336,4189387334;277,572008486121;42,6312090623695;11,429099421656;35,2274852916956;223,70268154265;6014,45195101326;5,61201998013164;7,95713420987871;10,7790412526651;9,85195554722225;40,4546044418309;67,4020206591207;108,300132241541;34,5661865525499;0
"B";209,982491277735;12537,7932268294;160,899888804473;23,3152915635154;40,4897942242642;18583,0776189043;5022,83197348979;37,1860728107704;3414,88239479444;14,9053316125472;770,834899955774;3335,86094947536;251,52405078968;96,2355363208994;23,4487102359626;47,7095978668675;8,58896494902092;57,2411620437982;54,5719649648386;37,1864036458064;18,7597419299271;68,7643019135091;113,040961184639;42,6206834013864;30,4446926559264;17,5329580896582;0
"C01";9959,5582379225;144,860556519341;16862,0953124421;46,5384496930157;204,807740177087;1630,48869389204;83,2611656692198;31,5831580231055;148,324854606849;41,9442271363232;123,787830115431;118,328486017443;70,3308495747578;339,511376800559;63,7958087722215;142,084696693624;685,062043612974;13235,0220423709;137,989591043063;93,1776165297903;46,1115142741047;175,409404306573;376,149701977181;277,461311792392;99,3870594241341;46,4478661049083;0
"C02";259,351617148188;133,187723655465;99,2945760766637;6233,31562047398;417,610688869358;283,05798802617;157,52234293291;302,929267015159;44,501201496102;103,044234895614;345,946263782491;201,067189353919;292,924313933411;578,491070348357;103,749830621881;57,6467158643005;39,5508318897883;209,166938601659;104,940099925787;80,8396694842642;13,6826549323433;200,296222451936;108,660663264158;149,92287121519;157,502478699652;200,225639952346;0
"C03";933,991482874337;45,9335296660441;1189,50652389233;292,759228534265;5871,04164535638;1152,74104671077;272,327283077017;836,912197531774;86,910648741629;45,477089653015;1090,03723058915;504,89220208523;351,328156024115;842,807545066248;88,7651692323308;62,3497701106348;40,9336876628521;209,267774909892;594,660881783991;90,953552582862;75,2990409087882;301,773696209205;2077,92283748921;126,459345923214;320,854659996768;160,354463334612;0
"C04";6620,72091557467;7764,6909402129;6013,5208659284;1824,32733159232;1791,62846320407;57946,1579996201;2186,23578046305;691,710414782272;1135,54473380658;1028,24820918488;10909,5348272959;9178,4595847697;6007,14322776998;3243,29292311555;3854,02479665236;11693,4990602373;98,9466890857804;703,846821221281;225,444139287898;124,151855435298;27,7381537110408;760,072674399327;1513,06320679404;77,9999250633452;5155,13458119902;800,506329236463;0
"C05";776,849028859444;449,835951238308;868,442490664636;175,245235749155;275,776787484144;891,396955532354;15705,477472388;1533,4278544977;829,992423490085;225,729400182809;6827,25185194083;6243,52989798938;4759,23501911453;5904,55303741388;213,700453377326;1002,39023547512;43,7134250730673;176,558029044371;1342,65975571983;368,437320319485;12,8084268575121;249,773263639457;401,398365519589;228,935508491387;192,231685706677;794,220293249048;0
"C06";30,7473276176386;90,575644401649;67,7261350631856;130,086651390321;206,783211203861;295,050301378692;195,960065847917;168,487257651437;24,3433618611559;25,6760981935289;599,366219266593;109,737208574785;41,3522238906918;272,420461829043;14,1406676313732;58,4096104999288;1,0384016335913;10,5190993135416;15,3849319161076;67,7586463339459;0,600500805686198;40,2155451971303;112,280017461335;58,6415544897114;1726,14992741002;172,638094060785;0
"D";491,908974038428;1814,65456981168;1480,75257991341;473,78522672778;1343,69389010771;3443,75011572024;1145,92617560418;231,686868464329;21739,056354074;1183,39190363658;8,89476296416888;69,8484973947956;1,84286874164621;2601,27880571385;226,648285045634;682,643277023056;290,841567884824;24,5743941054984;294,319020490045;520,196963969766;97,580833559598;300,411822145693;1443,01723964739;562,864498253733;235,078018850774;425,198448209681;0
"E";266,046210311121;298,743670767455;229,13585762556;100,819451149087;144,377008335204;139,885615860812;1285,39293662712;16,6033932501798;79,6145044984987;411,922275972145;53,5063631000563;75,7681465876528;9,12923512871303;509,22103913064;67,7778744849606;18,5203438970765;27,0861460035163;210,215971529564;138,739410855862;343,237645584277;49,9373098788436;235,401604915496;1205,6850286765;368,25613870033;396,621346124128;167,072596254816;0
