"";"A";"B";"C01";"C02";"C03";"C04";"C05";"C06";"D";"E";"F01";"F02";"F03";"G";"H";"H1";"I1";"I2";"J";"K";"L";"M + N";"O";"P";"Q";"R + S";"T"
"A";8085,72181479297;14,5403043273383;40175,3166432795;334,805014448469;520,535598949935;524,867709011666;21,1698389985702;28,0927921088524;8,86413611686172;7,44113302550961;236,459608123566;328,904339117237;271,594932429728;35,398643034585;6,53874074205241;24,9724732749515;212,606488963493;5695,81571447799;3,94634779097642;7,48747128374534;10,5176154465485;8,58490018451158;36,9683520711473;61,0172391659417;22,6228933439883;28,1604942843766;0
"B";191,741727542441;12291,9228248735;136,973658120705;21,8326406247104;38,6494425780383;16280,0077359004;4996,68839120185;34,8954263573491;3239,80848009176;14,0981158913426;747,912945157817;3251,34676978589;244,160270997955;88,8404736484782;20,626933320172;43,4419158531207;8,41072542933443;55,4118198566784;44,8403308966044;33,966146712243;18,2113180329318;64,8549357913648;106,644887637784;40,0637055650232;26,7413755455441;14,9255580101034;0
"C01";8813,7031405058;110,114827494227;12451,4399501974;37,0423213624997;102,82810001775;1139,40333679994;66,244032881714;28,3246149962001;144,128366702829;37,5091593573152;105,913000940289;101,98575265501;58,6050503267633;314,18170755128;47,399397635798;108,763270359723;620,600715969582;11595,5312195222;112,087124817749;84,6322902303537;44,6852151899461;165,326699599144;357,917973797079;244,812584809492;72,2440677931615;37,9686059764718;0
"C02";128,205404148928;94,3247166875472;70,4808268568881;3896,59295008961;327,655556288255;207,962433820288;126,904455606909;194,712734863523;35,2569488563839;92,3708921451393;175,065755569541;94,506316337112;125,904486711809;464,003652917875;75,2205781373241;45,3109660107414;35,5789260184714;190,362620455571;65,43133374378;80,581986513647;13,654791881514;190,164637435749;106,649628942225;143,658839498087;96,9745457945889;190,550175653841;0
"C03";783,224470344264;36,0137659336388;1002,76032988906;253,523997620714;3958,59099974021;855,560535715121;198,251585273248;740,802642471973;85,6062801877834;33,8384751743495;680,611964561987;424,801497753789;229,967309952742;733,974585744103;74,3563439952893;52,7637817280075;35,0192590099066;179,473702611713;482,400110067763;65,6991704592637;45,1931355727385;256,035718392501;1703,39706612633;110,095424469071;197,557231871573;134,67766382006;0
"C04";3141,90891396404;3807,79481435625;4146,46090686657;801,904510578535;1100,53597594503;39164,7189736307;1176,36702079081;456,159049275942;920,060586830302;610,244420934917;9353,18323759847;7775,97853489899;4956,08638735127;2555,0297406126;1918,84066775531;7570,38162626031;73,2138843926094;559,812696133473;193,600684792348;116,262998602818;27,4046433662577;747,596840976673;1260,2609761725;48,148566235753;1764,46956424519;488,429376768741;0
"C05";140,253076161663;105,542820635431;700,306775990042;155,795780713745;138,13186576072;590,281550207647;8316,23422878787;1254,60346548647;162,24456009098;47,4019811729973;1775,49745876108;2094,70481923404;1376,85004969217;1130,87062979485;98,9649654686914;199,677084121839;43,499674864486;175,835627422259;607,004559317307;267,429074204576;12,619628923501;132,981358426521;305,815742801895;70,5409182315013;126,560661098061;632,49318775494;0
"C06";17,4779462186976;68,7880774300281;60,9881039616367;123,437524018044;199,473598152253;218,418670260279;156,12648149619;161,451179034916;20,9755232052048;23,6875485097983;475,415167655237;81,9667045633614;23,9410322918197;250,40886101861;7,92173031495481;43,1092624311396;0,941201409152316;9,98392880534654;11,7047290784298;67,2441842962046;0,52333737758441;39,5487331583452;103,019588900683;57,0430918208136;285,913051109107;80,6210327394684;0
"D";487,804607168917;1813,63519142417;1479,54735682178;458,721831978567;1292,50921727242;3354,57037080361;1145,53580071933;230,686738278402;21722,8872302797;1183,11484115417;8,68696610236736;69,489575542593;1,77989999564575;2596,30737858884;226,326228893374;682,410292662854;290,750263203123;23,4094182932556;287,886158500649;517,983558536615;97,2061695208953;297,804345357342;1438,76997072405;561,145424482304;234,652979815271;423,627092645003;0
"E";260,830417909083;297,017725443121;225,386076118294;94,1514848528973;108,703181904218;121,925792680415;1148,35940822635;14,566336281907;78,8811057645033;390,398147467714;45,331920428149;73,5497475002956;6,45522084652136;500,78226747222;67,029208777158;18,1089453143918;26,824214659698;207,777773787424;127,098930722181;339,259493612095;48,7872863403228;230,46956618045;1192,06411204403;365,248944501339;394,191430085363;164,154961134951;0
"F01";4,54296835988123;26,4591529402106;17,2572710441169;14,5290753780149;16,4155804092507;19,3188687062309;11,8595458948775;10,9618395270552;16,8049373913026;17,2005851833267;95,2743808592407;47,6285754975063;24,8791738780754;80,9489507299142;12,3124676467359;6,09024977855445;8,09186805425107;11,3291746860284;43,6428682479255;41,2289002509635;30,3492859932684;71,454378106416;126,52555965167;53,1505804625604;36,4485411766765;22,018759070325;0
"F02";0;0;0;0;0;0;0;0;18,8719513246118;0;0;1,98652119206439;0,993260596032197;0;0;210,571246358826;0;0;0;0;0;0;0;0;0;0;0
"F03";59,4834497766579;272,708738976062;75,9557897148093;0;0;279,11464895201;0;195,837819264689;1190,58412552972;944,414156454014;11842,6972855343;7116,05085328141;4180,3138243042;939,838506471195;104,324819608292;230,61275913412;136,354369488031;343,173748711488;6,40590997594777;221,46145916848;2149,64036192876;395,336158515634;3277,08051769557;1566,70255411751;166,553659374642;649,742297560417;0
"G";4215,8917965114;2130,83680081961;7316,87324937482;1576,54862235629;1885,92875069485;6864,05968883168;4644,89973385246;737,8980480246;468,228715313692;433,373778249709;3699,4455265854;3758,96482288411;2407,27698555714;3221,68772051493;1069,13026638091;6008,61528281392;256,294254159923;4846,87960991796;1262,46042779592;328,295039697584;105,00299221161;779,97805449834;1385,49072074881;452,334870864651;2068,2121688412;603,156370896236;0
"H";302,744900762035;1933,09568542026;31,644279456176;0,227256485072879;1,15966181152605;482,654540483182;233,121774744123;0,0461169073162521;89,2680854015167;23,2616051577415;0,55040070681047;0,605821633740275;1,41209946219962;5835,38237827751;5661,21124363111;4675,54909001439;130,443965900131;240,666286335029;348,97960936966;144,438950648629;72,3982887906598;1550,77313395749;549,57180642;187,643259893828;104,742627475765;101,687439854202;0
"H1";2107,43813754704;10194,0787309788;2858,18078006351;1148,56768113547;531,955627227493;4776,41993882136;634,463722342774;238,744248412606;2619,49057792227;451,796225805193;841,018866290039;1471,39696075692;350,907264176335;8093,63942888718;518,877407532965;3059,89120734425;132,017893263638;1459,30028032186;519,498513092508;712,94247058155;257,243013423982;609,202058885617;997,537876952947;493,739339472184;278,100299357533;229,156045552248;0
"I1";13,9751149993323;84,2556409244211;60,5961732063693;27,9854834284492;16,9861428776968;88,9653893383689;36,6938914740722;7,93902868837085;27,5932573751602;11,4023833028479;35,3849973603619;31,5522255038408;14,1227783021378;349,76477435775;85,9436864817231;48,2328396604969;6,11565176011224;51,5457568674087;141,299673116738;90,7257426449009;28,7785482133147;277,008977168025;61,9005568983726;91,3215230881998;51,9508668646307;182,921273422816;0
"I2";171,888980876321;168,416600503313;267,369860671436;41,2666315578157;23,1952411720938;121,774772900397;62,8754855169702;9,94211496031994;46,2389151958233;44,2633758831143;19,1334375009386;25,1301174389594;20,1551338890827;484,711334298329;306,781504232458;74,8551908679346;136,598867123334;407,907219494211;184,622329542897;509,465220949621;47,4264940956312;243,363694253913;861,144692588785;219,601383807885;130,723394931264;773,403422956763;0
"J";213,904917507151;655,313361141039;537,091595393862;246,888965509383;248,462891297308;493,65083111429;293,999783944769;64,432585632324;651,711158482868;291,154027366085;253,467050598568;325,904243510884;142,599855199507;5407,64148851447;548,201085347203;214,669261277504;282,776479665046;539,479468291353;6412,89227821704;1293,20043801038;578,610333881907;3457,15207213166;4399,66117509261;1664,39379063677;1005,99711878212;845,933617114285;0
