"";"A";"B";"C01";"C02";"C03";"C04";"C05";"C06";"D";"E";"F01";"F02";"F03";"G";"H";"H1";"I1";"I2";"J";"K";"L";"M + N";"O";"P";"Q";"R + S";"T"
"A";102052;1;282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;3;0;0;0
"B";0;103056;77;0;0;1588;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;629;0;0;0;0;0
"C01";3762;0;118641;2;1;216;0;1;0;0;0;0;0;0;0;0;0;1807;0;0;0;0;0;3;0;0;0
"C02";0;0;3;24626;12;467;24;38;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0
"C03";120;0;6;9;18116;95;52;44;0;335;0;0;0;0;0;0;0;0;15;0;0;0;22;0;0;0;0
"C04";338;136;1127;219;334;146843;316;429;0;1;0;0;0;0;0;0;0;0;0;0;0;0;234;2;0;0;0
"C05";37;6;47;73;6;378;44005;181;0;0;0;0;0;0;0;0;0;0;399;46;0;0;0;0;0;3;0
"C06";568;0;0;235;181;496;423;10511;0;0;637;0;0;0;0;0;0;0;0;0;0;54;0;0;0;35;0
"D";0;72;302;39;155;481;0;4;61541;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0
"E";0;0;0;0;0;0;47;0;0;18357;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0
"F01";0;1;0;0;0;0;0;0;0;0;71041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F02";234;43;0;0;0;0;0;0;0;0;0;57626;0;0;0;0;0;0;0;0;0;100;0;14;0;0;0
"F03";187;11;0;0;0;0;0;0;0;0;221;0;39950;1;0;275;63;0;0;3;19;2598;14;0;0;313;0
"G";130;551;1021;467;723;2474;1548;228;44;1;0;0;0;159703;2;2;203;497;420;30;193;1587;360;5;68;57;0
"H";0;26;0;0;0;16;1;0;0;0;0;0;0;0;35554;6;0;0;0;5;17;47;1140;0;0;0;0
"H1";0;172;0;0;0;18;9;0;48;0;0;0;0;0;0;68383;89;247;0;7;0;0;40;412;0;0;0
"I1";42;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5873;0;0;12;0;0;2;0;0;2;0
"I2";0;11;110;0;0;0;0;0;0;0;0;0;0;0;0;0;1480;60489;0;7;0;0;0;584;0;175;0
"J";0;0;0;43;2382;9;4;9;0;0;0;0;0;0;0;0;0;0;41240;128;0;302;465;206;0;1;0
"K";0;0;0;0;0;0;0;0;0;0;0;0;0;332;37;0;0;0;0;82859;0;0;0;0;0;0;0
"L";0;11;4;0;0;0;0;0;3;0;166;0;0;1162;0;0;288;4350;208;1198;102438;286;469;83;212;210;0
"M + N";0;528;1395;10;95;169;101;4;369;589;570;0;0;11;0;4;182;633;13057;182;192;94902;2388;1727;29;64;0
"O";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108195;0;0;0;0
"P";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;67358;0;0;0
"Q";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;51;132;85773;0;0
"R + S";0;5;0;1392;0;0;5562;52;0;0;0;0;0;1653;0;0;180;5223;519;3;0;54;26;0;0;34711;0
"T";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6555
